,,,,,Synonyms in Software Tools,,,,,extended_adducts_neg.csv,,,,,,
metabolomicsUtils name,in R?,Charge,Calculation,Definition,SIRIUS,MetFrag,mzMine,MassBank,enviPat,CAMERA,GNPS,Agilent,Waters,Bruker MetaboScape,Damont et al,Others
[M-3H]3-,y,3-,,,,,,,M-3H,[M-3H]3-,,,,[M-3H]3-,,
[M-2H]2-,y,2-,,,,[M-2H]-,,[M-2H]-,M-2H,[M-2H]2-,,,,[M-2H]2-,,
[M]-,,1-,,,[M]-,[M]-,,[M]-,M-,,,,,[M]-,,
[M-H]-,y,1-,,,[M-H]-,[M-H]-,,[M-H]-,M-H,[M-H]-,,,,[M-H]-,,
[M+Na-2H]-,y,1-,,,[M-H+Na-H]-,[M-2H+Na]-,,,M+Na-2H,[M-2H+Na]-,,,,[M+Na-2H]-,,
[M+Cl]-,y,1-,,,[M+Cl]-,,,,M+Cl,[M+Cl]-,,,,[M+Cl]-,,
[M+K-2H]-,y,1-,,,[M-H+K-H]-,[M-2H+K]-,,,M+K-2H,[M-2H+K]-,,,,[M+K-2H]-,,
[M+C2H3N-H]-,y,1-,,,,,,,,,,,,[M+C2H3N-H]-,,[M+ACN-H]-
[M+CHO2]-,y,1-,,,[M+CH2O2-H]-,[M+HCOO]-,,[M+HCOO-]-,M+FA-H,,,,,[M+HCOO]-,,
[M+C2H3O2]-,y,1-,,,[M+C2H4O2-H]-,[M+CH3COO]-,,[(M+CH3COOH)-H]-,M+Hac-H,,,,,[M+CH3COO]-,,
[M+Br]-,y,1-,,,[M+Br]-,,,,M+Br,,,,,[M+Br]-,,
[M+C2F3O2]-,y,1-,,,[M+C2HF3O2-H]-,,,,M+TFA-H,,,,,[M+CF3COO]-,,
[2M-H]-,y,1-,,,,,,[2M-H]-,2M-H,[2M-H]-,,,,[2M-H]-,,
[2M+CHO2]-,y,1-,,,,,,,2M+FA-H,,,,,[2M+HCOO]-,,
[2M+C2H3O2]-,y,1-,,,,,,,2M+Hac-H,,,,,[2M+CH3COO]-,,
[3M-H]-,y,1-,,,,,,,3M-H,[3M-H]-,,,,[3M-H]-,,
,,,,,,,,,M-H2O-H,,,,,,,
,,,,,,,,[M-2H+H2O]-,,,,,,,,
,,,,,,,,[M-H+OH]-,,,,,,,,
,,,,,,,,[2M-H-CO2]-,,,,,,,,
,,,,,,,,[2M-H-C6H10O5]-,,,,,,,,
,,,,,,,,,,[M-H+Cl]2-,,,,,,
,,,,,,,,,,[M-2H+NH4]-,,,,,,
,,,,,,,,,,[M+2Cl]2-,,,,,,
,,,,,,,,,,[2M-2H]2-,,,,,,
,,,,,,,,,,[2M-3H]3-,,,,,,
,,,,,,,,,,[2M-2H+Na]-,,,,,,
,,,,,,,,,,[2M-H+Cl]2-,,,,,,
,,,,,,,,,,[2M-2H+K]-,,,,,,
,,,,,,,,,,[2M-2H+NH4]-,,,,,,
,,,,,,,,,,[2M+Cl]-,,,,,,
,,,,,,,,,,[2M+2Cl]2-,,,,,,
,,,,,,,,,,[3M-2H]2-,,,,,,
,,,,,,,,,,[3M-3H]3-,,,,,,
,,,,,,,,,,[3M-2H+Na]-,,,,,,
,,,,,,,,,,[3M-H+Cl]2-,,,,,,
,,,,,,,,,,[3M-2H+K]-,,,,,,
,,,,,,,,,,[3M-2H+NH4]-,,,,,,
,,,,,,,,,,[3M+Cl]-,,,,,,
,,,,,,,,,,[3M+2Cl]2-,,,,,,
,,,,,,,,,,[M+Cl+NaCOOH]-,,,,,,
,,,,,,,,,,[M-H+NaCOOH]-,,,,,,
,,,,,,,,,,[M+Cl+HCOOH]-,,,,,,
,,,,,,,,,,[M-H+HCOOH]-,,,,,,
,,,,,,,,,,[M+Cl+CF3COOH]-,,,,,,
,,,,,,,,,,[M-H+CF3COOH]-,,,,,,